Feature,Importance
Drainage_Score,0.083110034
Mn_ppm,0.081502356
Fe_ppm,0.07843637
Avg_Metal_ppm,0.0728051
Total_Metal_ppm,0.05675174
Max_Metal_ppm,0.04420719
Cd_ppm,0.036246475
Elevation_m,0.033160765
pH,0.03255541
Environmental_Score,0.03150777
Mining_Activity_Score,0.030861186
Annual_Rainfall_mm,0.030851716
Soil_OM_percent,0.030108465
Contamination_Viability,0.026902866
Silt_percent,0.026447933
Zn_ppm,0.026440555
Ni_ppm,0.026077952
Co_ppm,0.02496584
Growing_Season_days,0.024662217
Soil_Moisture_percent,0.024188563
Pollutant_Concentration_Index,0.023019569
Industrial_Proximity_km,0.02046623
Clay_percent,0.017913321
Solar_Radiation_MJ_m2,0.017332587
Average_Temp_C,0.016813705
Sand_percent,0.016619248
Contamination_Source_Score,0.016295824
Pb_ppm,0.014637534
Wind_Speed_m_s,0.013696676
CEC_meq_per_100g,0.012305982
Cu_ppm,0.009108763
