Sample_ID,Industrial_Proximity_km,Mining_Activity_History,Contamination_Source,Pollutant_Concentration_Index
USGS_SOIL_00000,9.939819341692205,Current,Mining,70.3028616537946
USGS_SOIL_00001,10.18034356559539,None,Mining,92.84686523951568
USGS_SOIL_00002,3.1809165392581322,None,Unknown,68.62867626170427
USGS_SOIL_00003,18.045853624975848,Current,Urban,68.11094986442595
USGS_SOIL_00004,0.39297136966448853,Past,Agriculture,22.37725690852066
USGS_SOIL_00005,0.01684021910095749,Past,Urban,53.51302003196929
USGS_SOIL_00006,2.3955711354025926,Past,Industrial,56.25228436045801
USGS_SOIL_00007,4.595185766352044,Past,Mining,70.01295624559528
USGS_SOIL_00008,4.960464349560253,None,Urban,99.68214498961827
USGS_SOIL_00009,3.235572992221173,Current,Agriculture,3.364382254376208
USGS_SOIL_00010,0.6669902260963934,Current,Industrial,6.523266126748684
USGS_SOIL_00011,0.9346459087931271,Current,Urban,7.795006943091876
USGS_SOIL_00012,9.55771698167174,Past,Mining,74.29791344889568
USGS_SOIL_00013,10.121401692617873,Past,Agriculture,13.635379511075751
USGS_SOIL_00014,5.602733562412363,Current,Mining,62.245187449034525
USGS_SOIL_00015,5.456465282769194,None,Mining,32.46688778934585
USGS_SOIL_00016,4.552563882617337,Past,Industrial,45.7319956210711
USGS_SOIL_00017,1.1340380646219554,None,Agriculture,21.56631598174139
USGS_SOIL_00018,2.7952733542294816,Current,Unknown,86.61065613045422
USGS_SOIL_00019,5.95190548184288,Past,Mining,58.61503241630264
USGS_SOIL_00020,3.852866186631481,None,Agriculture,94.45632635822527
USGS_SOIL_00021,0.09377558431526593,Past,Mining,57.459624970432955
USGS_SOIL_00022,15.34762681552973,Current,Urban,12.390803059694665
USGS_SOIL_00023,9.31572054051985,Current,Urban,17.087043383847544
USGS_SOIL_00024,1.5092093484554023,Current,Agriculture,98.90739763678472
USGS_SOIL_00025,4.7915429240518606,None,Industrial,72.55651973308677
USGS_SOIL_00026,12.83531789660386,Past,Unknown,4.927875002908966
USGS_SOIL_00027,0.5046905010290295,Past,Urban,70.37810050346648
USGS_SOIL_00028,3.4961228607162615,Past,Industrial,41.21730468096116
USGS_SOIL_00029,3.0462643531584637,Current,Unknown,30.72083868231905
USGS_SOIL_00030,2.639901345225651,None,Urban,15.406079373053426
USGS_SOIL_00031,9.026917548939759,Current,Unknown,83.99039545565657
USGS_SOIL_00032,2.395392582373062,Current,Mining,6.384137898910069
USGS_SOIL_00033,0.32890090233988306,None,Agriculture,28.98354623796403
USGS_SOIL_00034,0.3405256612433324,Current,Urban,30.638289382570438
USGS_SOIL_00035,0.21842527148513496,Current,Urban,16.090528396350035
USGS_SOIL_00036,2.630926762772553,Past,Mining,50.818488328687025
USGS_SOIL_00037,6.336449739548337,None,Urban,1.1702626810892625
USGS_SOIL_00038,1.1390374399557583,None,Urban,30.09755154104091
USGS_SOIL_00039,5.198913732486552,Past,Urban,93.3629444033064
USGS_SOIL_00040,5.809173934378544,None,Urban,31.05295693420057
USGS_SOIL_00041,1.473212024082882,Past,Urban,36.04593871067516
USGS_SOIL_00042,4.588429223716421,Current,Industrial,47.31650482340716
USGS_SOIL_00043,5.773823796560644,None,Urban,56.16933748514747
USGS_SOIL_00044,3.142546035609519,None,Mining,80.8708644820744
USGS_SOIL_00045,2.052764625231797,Current,Urban,19.03212231560176
USGS_SOIL_00046,4.826768780745646,Current,Unknown,87.17463771925573
USGS_SOIL_00047,19.048931467656953,None,Unknown,75.75493571438894
USGS_SOIL_00048,2.782964140409331,None,Mining,72.26503346615553
USGS_SOIL_00049,2.4857239750241575,None,Industrial,8.680457371463524
USGS_SOIL_00050,3.1205959710913627,Past,Mining,2.164068997458468
USGS_SOIL_00051,0.3963979590966124,None,Industrial,59.4012700908084
USGS_SOIL_00052,4.0278101500303585,None,Agriculture,86.31339625231612
USGS_SOIL_00053,1.9926762796058082,Current,Unknown,58.44414641406359
USGS_SOIL_00054,0.6472536341393313,Current,Unknown,21.323486544553084
USGS_SOIL_00055,3.139201721235792,Past,Unknown,9.051989794921322
USGS_SOIL_00056,0.016948626032524602,Current,Industrial,69.9596452817735
USGS_SOIL_00057,2.5690273384944935,None,Mining,72.17702773178095
USGS_SOIL_00058,0.5587671337806012,None,Industrial,17.253170068710865
USGS_SOIL_00059,0.12296319286357472,Past,Unknown,2.819031549653628
USGS_SOIL_00060,8.699870297713826,Current,Unknown,40.8283513223197
USGS_SOIL_00061,12.399524096082404,Current,Unknown,58.271870213302215
USGS_SOIL_00062,1.1639158699776684,Current,Unknown,70.60024095671912
USGS_SOIL_00063,3.8750221925437716,Past,Agriculture,80.99450091529027
USGS_SOIL_00064,1.6283609382818813,Current,Unknown,61.053742730673235
USGS_SOIL_00065,3.4019192837974623,Current,Industrial,11.088060859848504
USGS_SOIL_00066,2.8691050886329252,Current,Unknown,68.25816721424148
USGS_SOIL_00067,1.5670583223142096,None,Urban,98.4176642894882
USGS_SOIL_00068,6.0264279888998065,Past,Agriculture,90.5584584597404
USGS_SOIL_00069,0.6761839975669703,None,Unknown,87.16689092695127
USGS_SOIL_00070,0.27266522131591187,Past,Urban,30.217015335834084
USGS_SOIL_00071,7.298099447346801,Current,Industrial,75.07881764540006
USGS_SOIL_00072,5.482024102908082,None,Agriculture,85.11034459651455
USGS_SOIL_00073,3.4510188247686435,Current,Unknown,67.83262046312632
USGS_SOIL_00074,3.1535834970710974,Current,Industrial,25.056175656798054
USGS_SOIL_00075,3.4399164768866157,Past,Urban,95.38339718749583
USGS_SOIL_00076,2.8725920784882724,Current,Agriculture,45.08194114586759
USGS_SOIL_00077,2.4952453340563014,None,Unknown,12.98055586658794
USGS_SOIL_00078,3.462642888531953,Past,Industrial,10.9777895057392
USGS_SOIL_00079,3.759341768995321,Past,Agriculture,64.75189872990458
USGS_SOIL_00080,5.886691921138264,None,Urban,43.77096464167391
USGS_SOIL_00081,6.2102283352812915,Current,Unknown,9.44838751789636
USGS_SOIL_00082,2.3710951489984806,Current,Agriculture,74.03645721560946
USGS_SOIL_00083,2.6682585288118474,Current,Urban,79.93251672586197
USGS_SOIL_00084,2.339606352192521,Current,Urban,72.54156307864513
USGS_SOIL_00085,3.845130392279329,Current,Industrial,20.226087768401293
USGS_SOIL_00086,3.019765035570816,Past,Urban,68.97754559960694
USGS_SOIL_00087,11.018065544212343,Past,Urban,1.0722802894385097
USGS_SOIL_00088,5.959583311358529,None,Mining,30.511213967840924
USGS_SOIL_00089,11.446191976424661,Current,Urban,39.882153140754376
USGS_SOIL_00090,6.174514420130821,Current,Unknown,83.52469488855016
USGS_SOIL_00091,17.700943725405697,Current,Agriculture,39.03943730694043
USGS_SOIL_00092,5.049392680106912,None,Unknown,1.1269446189398291
USGS_SOIL_00093,16.559088055081318,Current,Unknown,35.23464118280094
USGS_SOIL_00094,0.8608852759029285,Past,Industrial,49.89240983592872
USGS_SOIL_00095,0.2695239322505923,Current,Mining,94.90047866727734
USGS_SOIL_00096,4.327099207729025,None,Mining,94.10343037895447
USGS_SOIL_00097,20.519916065594344,Past,Unknown,18.087403822141155
USGS_SOIL_00098,2.7030339596572626,Past,Agriculture,18.514654173945154
USGS_SOIL_00099,1.191561094010086,Past,Mining,16.33814564645505
USGS_SOIL_00100,3.6859284751253503,Current,Mining,78.89219324141033
USGS_SOIL_00101,5.23197750440858,None,Unknown,0.6022040368406367
USGS_SOIL_00102,1.8929867205925246,None,Mining,12.717719819187733
USGS_SOIL_00103,6.27228578785483,Current,Industrial,53.7959631644099
USGS_SOIL_00104,18.467351287870503,None,Unknown,24.756206688676553
USGS_SOIL_00105,11.363341565948096,Past,Mining,9.235645823926209
USGS_SOIL_00106,1.7236286303531154,Past,Mining,35.98780123338343
USGS_SOIL_00107,1.9779972938894876,None,Mining,27.42076050602448
USGS_SOIL_00108,2.3224242245415194,None,Unknown,51.11043065142845
